,name,start_idx,start_frame,finish_idx,finish_frame,video_cnt
0,instructional_video_0,10988,12834.0,48669,50515.0,0
1,discussion_phase_0,84443,86289.0,102437,104283.0,0
2,reschu_run_0,104716,106562.0,122709,124555.0,0
3,reschu_run_1,132211,134057.0,150203,152049.0,0
4,reschu_run_2,157028,158874.0,175019,176865.0,0
5,reschu_run_3,180466,182312.0,198459,200305.0,0
6,discussion_phase_1,201943,203789.0,219933,221779.0,0
7,reschu_run_4,221835,223681.0,239825,241671.0,0
8,reschu_run_5,244534,246380.0,262526,264372.0,0
9,reschu_run_6,267277,269123.0,285270,287116.0,0
10,reschu_run_7,298148,299994.0,316141,317987.0,0
