,name,start_idx,start_frame,finish_idx,finish_frame,video_cnt
0,instructional_video_0,5804,5919.0,24639,24754.0,0
1,discussion_phase_0,42640,42755.0,51522,51637.0,0
2,reschu_run_0,52940,53055.0,60191,60306.0,0
3,reschu_run_1,64654,64769.0,72003,72118.0,0
4,reschu_run_2,74863,74978.0,81673,81788.0,0
5,reschu_run_3,84707,84822.0,91947,92062.0,0
6,discussion_phase_1,94424,94539.0,103302,103417.0,0
7,reschu_run_4,104199,104314.0,111519,111634.0,0
8,reschu_run_5,113909,114024.0,121234,121349.0,0
9,reschu_run_6,124048,124163.0,131139,131254.0,0
10,reschu_run_7,133445,133560.0,140862,140977.0,0
