frame, face_id, timestamp, confidence, success, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r, AU01_c, AU02_c, AU04_c, AU05_c, AU06_c, AU07_c, AU09_c, AU10_c, AU12_c, AU14_c, AU15_c, AU17_c, AU20_c, AU23_c, AU25_c, AU26_c, AU28_c, AU45_c
16, 0, 0.500, 0.98, 1, 0.26, 0.67, 0.16, -0.02, -0.91, -0.14, 0.44, -0.74, 0.00, -0.22, 0.18, 0.56, 0.29, 0.53, 0.57, 0.59, 0.74, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0
17, 0, 0.533, 0.98, 1, 0.34, 0.72, 0.23, 0.24, -0.99, -0.37, 0.49, -0.68, -0.01, -0.17, 0.15, 0.52, 0.20, 0.50, 0.48, 0.62, 0.64, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0
18, 0, 0.567, 0.98, 1, 0.34, 0.86, 0.23, 0.07, -0.96, -0.42, 0.57, -0.68, -0.02, -0.09, 0.17, 0.54, 0.21, 0.54, 0.41, 0.65, 0.66, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0
19, 0, 0.600, 0.98, 1, 0.46, 0.92, 0.18, 0.20, -0.97, -0.38, 0.51, -0.71, -0.04, -0.09, 0.10, 0.56, 0.26, 0.56, 0.46, 0.61, 0.51, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0
20, 0, 0.633, 0.98, 1, 0.48, 1.02, 0.12, 0.13, -0.96, -0.42, 0.47, -0.57, 0.02, -0.09, 0.13, 0.55, 0.16, 0.57, 0.48, 0.53, 0.48, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0
21, 0, 0.667, 0.98, 1, 0.50, 0.84, 0.21, 0.27, -0.97, -0.47, 0.46, -0.60, 0.02, -0.16, 0.05, 0.47, 0.10, 0.45, 0.58, 0.54, 0.56, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0
22, 0, 0.700, 0.98, 1, 0.39, 0.48, 0.10, 0.40, -0.80, -0.55, 0.57, -0.91, -0.17, -0.24, -0.25, 0.54, 0.50, 0.47, 0.33, 0.61, 0.50, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0
23, 0, 0.733, 0.98, 1, 0.45, 0.56, 0.13, 0.34, -0.86, -0.85, 0.55, -0.87, -0.19, -0.14, -0.25, 0.58, 0.29, 0.54, 0.35, 0.78, 0.60, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0
24, 0, 0.767, 0.98, 1, 0.44, 0.43, 0.03, 0.33, -0.91, -0.89, 0.52, -0.79, -0.23, -0.08, -0.21, 0.77, 0.44, 0.62, 0.45, 0.69, 0.60, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0
25, 0, 0.800, 0.98, 1, 0.43, 0.48, 0.01, 0.01, -0.92, -0.82, 0.53, -0.83, -0.20, -0.06, 0.08, 0.49, 0.49, 0.64, 0.37, 0.51, 0.55, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0
