,name,start_idx,start_frame,finish_idx,finish_frame,video_cnt
0,instructional_video_0,5983,6123.0,24822,24962.0,0
1,discussion_phase_0,49653,49793.0,58652,58792.0,0
2,reschu_run_0,59703,59843.0,68702,68842.0,0
3,reschu_run_1,81084,1332.0,90084,10332.0,1
4,reschu_run_2,94932,15180.0,103930,24178.0,1
5,reschu_run_3,107737,27985.0,116736,36984.0,1
6,discussion_phase_1,119665,39913.0,128663,48911.0,1
7,reschu_run_4,136703,732.0,145702,9731.0,2
8,reschu_run_5,149079,13108.0,158079,22108.0,2
9,reschu_run_6,160965,24994.0,169963,33992.0,2
10,reschu_run_7,172990,37019.0,181988,46017.0,2
