,name,start_idx,start_frame,finish_idx,finish_frame,video_cnt
0,instructional_video_0,4623,4667.0,23460,23504.0,0
1,discussion_phase_0,43430,43474.0,52422,52466.0,0
2,reschu_run_1,53850,53894.0,62847,62891.0,0
3,reschu_run_2,67598,67642.0,76592,76636.0,0
4,reschu_run_3,79292,79336.0,88286,88330.0,0
5,reschu_run_4,91681,91725.0,100679,100723.0,0
6,reschu_run_4,102782,102826.0,111778,111822.0,0
7,reschu_run_5,113016,113060.0,122008,122052.0,0
8,reschu_run_6,125170,125214.0,134164,134208.0,0
9,reschu_run_7,137744,137788.0,146739,146783.0,0
10,reschu_run_8,150016,150060.0,159015,159059.0,0
11,reschu_run_0,0,44.0,0,44.0,0
