,name,start_idx,start_frame,finish_idx,finish_frame,video_cnt
0,instructional_video_0,7272,8372.0,26111,27211.0,0
1,discussion_phase_0,49911,51011.0,57394,58494.0,0
2,reschu_run_0,59583,60683.0,65453,66553.0,0
3,reschu_run_1,71990,1899.0,80990,10899.0,1
4,reschu_run_2,84968,14877.0,93968,23877.0,1
5,reschu_run_3,95813,25722.0,104814,34723.0,1
6,discussion_phase_1,106741,36650.0,114675,44584.0,1
7,reschu_run_4,115958,45867.0,124958,54867.0,1
8,reschu_run_5,126685,56594.0,135685,65594.0,1
9,reschu_run_6,138425,68334.0,147425,77334.0,1
10,reschu_run_7,148891,78800.0,157892,87801.0,1
