,name,start_idx,start_frame,finish_idx,finish_frame,video_cnt
0,instructional_video_0,10161,10300.0,29000,29139.0,0
1,discussion_phase_0,50953,51092.0,56704,56843.0,0
2,reschu_run_0,57608,57747.0,66608,66747.0,0
3,reschu_run_1,70311,70450.0,79311,79450.0,0
4,reschu_run_2,82668,82807.0,91669,91808.0,0
5,reschu_run_3,94899,95038.0,103898,104037.0,0
6,discussion_phase_1,105323,105462.0,111003,111142.0,0
7,reschu_run_4,112353,112492.0,121353,121492.0,0
8,reschu_run_5,123814,123953.0,132814,132953.0,0
9,reschu_run_6,135347,135486.0,144347,144486.0,0
10,reschu_run_7,146501,146640.0,155501,155640.0,0
