,name,start_idx,start_frame,finish_idx,finish_frame,video_cnt
0,instructional_video_0,8863,8888.0,27704,27729.0,0
1,reschu_run_0,58086,58111.0,67086,67111.0,0
2,reschu_run_1,77357,649.0,86356,9648.0,1
3,reschu_run_2,89722,13014.0,98721,22013.0,1
4,reschu_run_3,102261,25553.0,111260,34552.0,1
5,discussion_phase_1,113880,37172.0,122878,46170.0,1
6,reschu_run_4,123723,47015.0,132722,56014.0,1
7,reschu_run_5,138080,61372.0,147080,70372.0,1
8,reschu_run_6,149396,72688.0,158395,81687.0,1
9,reschu_run_7,161026,84318.0,170026,93318.0,1
