frame, face_id, timestamp, confidence, success, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r, AU01_c, AU02_c, AU04_c, AU05_c, AU06_c, AU07_c, AU09_c, AU10_c, AU12_c, AU14_c, AU15_c, AU17_c, AU20_c, AU23_c, AU25_c, AU26_c, AU28_c, AU45_c
1,  0,  0.000,  0.93,  1, 0.00, 0.00, 2.85, 0.00, 1.39, 0.96, 0.00, 0.43, 2.04, 0.65, 0.00, 0.04, 0.00, 0.00, 1.42, 0.53, 0.47, 0.00, 0.00, 1.00, 0.00, 1.00, 1.00, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00
2,  0,  0.017,  0.93,  1, 0.06, 0.00, 2.87, 0.00, 1.47, 0.90, 0.00, 0.52, 2.05, 0.87, 0.00, 0.05, 0.00, 0.00, 1.56, 0.43, 0.62, 0.00, 0.00, 1.00, 0.00, 1.00, 1.00, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00
3,  0,  0.033,  0.93,  1, 0.06, 0.00, 2.88, 0.00, 1.56, 1.08, 0.00, 0.65, 2.10, 0.99, 0.00, 0.10, 0.00, 0.00, 1.63, 0.40, 0.61, 0.00, 0.00, 1.00, 0.00, 1.00, 1.00, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
4,  0,  0.050,  0.93,  1, 0.03, 0.00, 2.85, 0.00, 1.61, 1.31, 0.00, 0.72, 2.12, 0.98, 0.00, 0.12, 0.00, 0.00, 1.62, 0.40, 0.54, 0.00, 0.00, 1.00, 0.00, 1.00, 1.00, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
5,  0,  0.067,  0.93,  1, 0.00, 0.00, 2.81, 0.00, 1.62, 1.56, 0.00, 0.78, 2.12, 1.07, 0.00, 0.14, 0.00, 0.00, 1.57, 0.41, 0.55, 0.00, 0.00, 1.00, 0.00, 1.00, 1.00, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
6,  0,  0.083,  0.93,  1, 0.00, 0.00, 2.82, 0.00, 1.58, 1.70, 0.01, 0.76, 2.11, 1.10, 0.00, 0.12, 0.00, 0.00, 1.52, 0.37, 0.53, 0.00, 0.00, 1.00, 0.00, 1.00, 1.00, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
7,  0,  0.100,  0.93,  1, 0.00, 0.00, 2.89, 0.00, 1.55, 1.83, 0.02, 0.74, 2.12, 1.12, 0.00, 0.14, 0.00, 0.00, 1.47, 0.31, 0.49, 0.00, 1.00, 1.00, 0.00, 1.00, 1.00, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
8,  0,  0.117,  0.93,  1, 0.00, 0.00, 3.00, 0.00, 1.54, 1.94, 0.09, 0.71, 2.13, 1.05, 0.00, 0.09, 0.00, 0.00, 1.48, 0.30, 0.39, 0.00, 1.00, 1.00, 0.00, 1.00, 1.00, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
9,  0,  0.133,  0.93,  1, 0.00, 0.00, 3.06, 0.00, 1.55, 1.90, 0.11, 0.65, 2.11, 1.03, 0.00, 0.05, 0.00, 0.00, 1.44, 0.31, 0.42, 0.00, 1.00, 1.00, 0.00, 1.00, 1.00, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
10,  0,  0.150,  0.93,  1, 0.00, 0.00, 3.14, 0.00, 1.56, 1.83, 0.14, 0.62, 2.10, 1.05, 0.00, 0.00, 0.00, 0.00, 1.43, 0.34, 0.45, 0.00, 1.00, 1.00, 0.00, 1.00, 1.00, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
