zoom,phase,beeps,score,f1,f2,f3,f4,f5,f6
True,instructional_video_0,,,0.0008,0.0492,0.0456,0.0397,0.0143,0.0686
True,discussion_phase_0,,,0.0002,0.0541,0.0264,0.013,0.2137,0.0344
True,reschu_run_0,True,12,0.0,0.0004,0.0114,0.0214,0.0222,0.0453
True,reschu_run_1,False,25,0.0001,0.0702,0.0341,0.0466,0.0043,0.0603
True,reschu_run_2,True,24,0.0014,0.0002,0.0202,0.0144,0.0048,0.0396
True,reschu_run_3,False,21,0.0002,0.0702,0.0378,0.059,0.0019,0.06
True,discussion_phase_1,,,0.0003,0.0322,0.0279,0.0189,0.2578,0.0508
True,reschu_run_4,True,19,0.0001,0.1122,0.0342,0.0339,0.0154,0.0562
True,reschu_run_5,False,23,0.0001,0.1004,0.0338,0.046,0.0241,0.0602
True,reschu_run_6,True,31,0.0001,0.0905,0.0325,0.0384,0.0007,0.0475
True,reschu_run_7,False,23,0.0002,0.1125,0.0346,0.0515,0.0024,0.0601
