frame,f1,f2,f3,f4,f5,f6
1,1.02,0.91,0.69,0.75,3.37,0.4
2,1.33,1.16,0.32,1.47,3.51,0.7
3,1.45,1.1,0.18,1.83,3.58,0.86
4,1.4,0.91,0.21,1.73,3.58,0.83
5,1.39,0.7,0.2,1.66,3.68,0.8
6,1.26,0.61,0.17,1.62,3.54,0.83
7,1.01,0.56,0.12,1.86,3.2,1.04
8,0.75,0.49,0.13,2.04,2.81,1.21
9,0.68,0.5,0.19,2.19,2.71,1.27
10,0.78,0.59,0.24,2.17,2.79,1.17
11,0.78,0.62,0.27,2.17,2.79,1.22
12,0.64,0.55,0.27,1.99,2.57,1.18
13,0.47,0.37,0.32,1.78,2.36,1.14
14,0.35,0.21,0.42,1.65,2.2,0.98
15,0.4,0.16,0.48,1.76,2.22,1.04
16,0.4,0.18,0.55,2.04,2.16,1.22
17,0.45,0.23,0.56,2.28,2.29,1.36
18,0.41,0.28,0.6,2.44,2.3,1.4
19,0.45,0.39,0.53,2.46,2.47,1.38
20,0.51,0.58,0.51,2.48,2.58,1.39
21,0.58,0.73,0.47,2.52,2.72,1.44
22,0.6,0.72,0.46,2.44,2.67,1.44
23,0.62,0.7,0.43,2.32,2.66,1.33
24,0.66,0.62,0.49,2.17,2.75,1.19
25,0.7,0.63,0.57,2.1,2.97,1.08
26,0.7,0.59,0.65,2.09,3.09,1.1
27,0.76,0.72,0.6,2.07,3.24,1.22
28,0.67,0.74,0.63,1.96,3.23,1.22
29,0.68,0.87,0.62,1.95,3.21,1.26
30,0.56,0.78,0.65,1.91,3.06,1.2
31,0.62,0.9,0.6,1.94,3.16,1.13
32,0.65,0.99,0.61,1.86,3.35,1.06
33,0.72,1.12,0.61,1.85,3.49,0.98
34,0.77,0.94,0.63,1.82,3.47,0.95
35,0.76,0.73,0.63,1.75,3.38,0.86
36,0.62,0.38,0.64,1.38,2.97,0.77
37,0.4,0.22,0.65,1.12,2.58,0.76
38,0.22,0.07,0.61,0.85,2.23,0.69
39,0.34,0.14,0.6,1.0,2.36,0.72
40,0.55,0.19,0.55,1.06,2.58,0.71
41,0.7,0.3,0.61,1.22,2.62,0.84
42,0.73,0.35,0.64,1.22,2.59,0.88
