zoom,phase,beeps,score,f1,f2,f3,f4,f5,f6
True,instructional_video_0,,,0.4176,0.0389,0.0271,0.0149,0.1029,0.0177
True,discussion_phase_0,,,0.0858,0.0735,0.0165,0.0109,0.0856,0.0167
True,reschu_run_0,True,10,0.3744,0.0577,0.0287,0.0237,0.0111,0.0241
True,reschu_run_1,False,11,0.3176,0.0587,0.0208,0.0221,0.0526,0.0197
True,reschu_run_2,True,11,0.3333,0.0706,0.0267,0.0183,0.054,0.0206
True,reschu_run_3,False,17,0.2966,0.0613,0.0213,0.0207,0.0381,0.0202
True,discussion_phase_1,,,0.0041,0.0688,0.0167,0.0078,0.1216,0.0158
True,reschu_run_4,True,14,0.504,0.071,0.0274,0.0199,0.0533,0.0177
True,reschu_run_5,False,24,0.2889,0.0845,0.0279,0.0217,0.0545,0.0217
True,reschu_run_6,True,15,0.0046,0.0783,0.0199,0.0343,0.0613,0.0464
True,reschu_run_7,False,17,0.0022,0.0767,0.0587,0.0255,0.0749,0.0252
