zoom,phase,beeps,score,f1,f2,f3,f4,f5,f6
True,instructional_video_0,,,0.0002,0.0643,0.0368,0.0431,0.1831,0.0444
True,discussion_phase_0,,,0.0005,0.0456,0.0168,0.0145,0.0484,0.0197
True,reschu_run_0,True,9,0.0008,0.1582,0.0239,0.0307,0.1253,0.0276
True,reschu_run_1,False,13,0.0011,0.137,0.0234,0.0225,0.076,0.0285
True,reschu_run_2,True,12,0.0069,0.1207,0.0226,0.0243,0.2089,0.0281
True,reschu_run_3,False,13,0.0015,0.1028,0.0231,0.0212,0.1965,0.0319
True,discussion_phase_1,,,0.0004,0.0489,0.0186,0.0181,0.0628,0.0239
True,reschu_run_4,True,15,0.0026,0.0934,0.0239,0.0225,0.2006,0.0294
True,reschu_run_5,False,14,0.0028,0.1262,0.0238,0.0202,0.0599,0.0266
True,reschu_run_6,True,18,0.0191,0.1013,0.0244,0.0242,0.2101,0.0304
True,reschu_run_7,False,17,0.0007,0.0968,0.0251,0.0239,0.1364,0.0327
