pair,phase,method,component_factor,radius,non_event_matches,condition,RR
99_100,reschu_run_1,factor,f1,0.1,excluded,real,0.0154
99_100,reschu_run_2,factor,f1,0.1,included,real,0.5284
99_100,reschu_run_2,factor,f1,0.1,excluded,real,0.0188
99_100,reschu_run_3,factor,f1,0.1,included,real,0.5901
99_100,reschu_run_3,factor,f1,0.1,excluded,real,0.0191
101_102,instructional_video_0,factor,f1,0.1,included,real,0.0021
101_102,instructional_video_0,factor,f1,0.1,excluded,real,0.0021
101_102,discussion_phase_0,factor,f1,0.1,included,real,0.0188
101_102,discussion_phase_0,factor,f1,0.1,excluded,real,0.0188
101_102,discussion_phase_1,factor,f1,0.1,included,real,0.0256
101_102,discussion_phase_1,factor,f1,0.1,excluded,real,0.0235
101_102,reschu_run_0,factor,f1,0.1,included,real,0.0112
101_102,reschu_run_0,factor,f1,0.1,excluded,real,0.0112
101_102,reschu_run_1,factor,f1,0.1,included,real,0.0154
101_102,reschu_run_1,factor,f1,0.1,excluded,real,0.0154
101_102,reschu_run_2,factor,f1,0.1,included,real,0.0148
101_102,reschu_run_2,factor,f1,0.1,excluded,real,0.0147
101_102,reschu_run_3,factor,f1,0.1,included,real,0.0114
101_102,reschu_run_3,factor,f1,0.1,excluded,real,0.0114
101_102,reschu_run_4,factor,f1,0.1,included,real,0.0403
101_102,reschu_run_4,factor,f1,0.1,excluded,real,0.0151
101_102,reschu_run_5,factor,f1,0.1,included,real,0.0036
101_102,reschu_run_5,factor,f1,0.1,excluded,real,0.0
101_102,reschu_run_6,factor,f1,0.1,included,real,0.0037
101_102,reschu_run_6,factor,f1,0.1,excluded,real,0.0
103_104,instructional_video_0,factor,f1,0.1,included,real,0.1154
103_104,instructional_video_0,factor,f1,0.1,excluded,real,0.1132
103_104,discussion_phase_0,factor,f1,0.1,included,real,0.0323
103_104,discussion_phase_0,factor,f1,0.1,excluded,real,0.0321
103_104,discussion_phase_1,factor,f1,0.1,included,real,0.0411
103_104,discussion_phase_1,factor,f1,0.1,excluded,real,0.0384
103_104,reschu_run_0,factor,f1,0.1,included,real,0.0876
103_104,reschu_run_0,factor,f1,0.1,excluded,real,0.0688
103_104,reschu_run_1,factor,f1,0.1,included,real,0.1813
103_104,reschu_run_1,factor,f1,0.1,excluded,real,0.1506
103_104,reschu_run_2,factor,f1,0.1,included,real,0.0902
103_104,reschu_run_2,factor,f1,0.1,excluded,real,0.0674
103_104,reschu_run_3,factor,f1,0.1,included,real,0.185
103_104,reschu_run_3,factor,f1,0.1,excluded,real,0.0595
103_104,reschu_run_4,factor,f1,0.1,included,real,0.0554
103_104,reschu_run_4,factor,f1,0.1,excluded,real,0.0433
103_104,reschu_run_5,factor,f1,0.1,included,real,0.0818
103_104,reschu_run_5,factor,f1,0.1,excluded,real,0.0775
13_14,instructional_video_0,factor,f1,0.1,included,real,0.3481
13_14,instructional_video_0,factor,f1,0.1,excluded,real,0.0355
13_14,discussion_phase_0,factor,f1,0.1,included,real,0.1154
13_14,discussion_phase_0,factor,f1,0.1,excluded,real,0.0425
13_14,discussion_phase_1,factor,f1,0.1,included,real,0.063
13_14,discussion_phase_1,factor,f1,0.1,excluded,real,0.038
13_14,reschu_run_0,factor,f1,0.1,included,real,0.2037
13_14,reschu_run_0,factor,f1,0.1,excluded,real,0.0564
13_14,reschu_run_1,factor,f1,0.1,included,real,0.1346
13_14,reschu_run_1,factor,f1,0.1,excluded,real,0.0379
13_14,reschu_run_2,factor,f1,0.1,included,real,0.1256
13_14,reschu_run_2,factor,f1,0.1,excluded,real,0.0476
13_14,reschu_run_3,factor,f1,0.1,included,real,0.0833
13_14,reschu_run_3,factor,f1,0.1,excluded,real,0.0388
13_14,reschu_run_4,factor,f1,0.1,included,real,0.1323
13_14,reschu_run_4,factor,f1,0.1,excluded,real,0.0428
13_14,reschu_run_5,factor,f1,0.1,included,real,0.1388
13_14,reschu_run_5,factor,f1,0.1,excluded,real,0.0688
13_14,reschu_run_6,factor,f1,0.1,included,real,0.1003
13_14,reschu_run_6,factor,f1,0.1,excluded,real,0.0662
13_14,reschu_run_7,factor,f1,0.1,included,real,0.1056
13_14,reschu_run_7,factor,f1,0.1,excluded,real,0.0623
17_18,instructional_video_0,factor,f1,0.1,included,real,0.238
17_18,instructional_video_0,factor,f1,0.1,excluded,real,0.0914
17_18,discussion_phase_0,factor,f1,0.1,included,real,0.0642
17_18,discussion_phase_0,factor,f1,0.1,excluded,real,0.0569
17_18,reschu_run_0,factor,f1,0.1,included,real,0.175
17_18,reschu_run_0,factor,f1,0.1,excluded,real,0.121
17_18,reschu_run_1,factor,f1,0.1,included,real,0.2694
17_18,reschu_run_1,factor,f1,0.1,excluded,real,0.0624
17_18,reschu_run_2,factor,f1,0.1,included,real,0.2952
17_18,reschu_run_2,factor,f1,0.1,excluded,real,0.0479
19_20,instructional_video_0,factor,f1,0.1,included,real,0.3474
19_20,instructional_video_0,factor,f1,0.1,excluded,real,0.1571
19_20,discussion_phase_1,factor,f1,0.1,included,real,0.1177
19_20,discussion_phase_1,factor,f1,0.1,excluded,real,0.0865
19_20,reschu_run_0,factor,f1,0.1,included,real,0.2881
19_20,reschu_run_0,factor,f1,0.1,excluded,real,0.1664
19_20,reschu_run_1,factor,f1,0.1,included,real,0.2061
19_20,reschu_run_1,factor,f1,0.1,excluded,real,0.1492
19_20,reschu_run_2,factor,f1,0.1,included,real,0.2689
