frame,f1,f2,f3,f4,f5,f6
1,0.52,0.29,0.14,2.3,0.8,1.55
2,0.27,0.46,0.05,1.63,0.65,1.28
3,0.16,0.63,0.0,1.29,0.56,1.16
4,0.2,0.7,0.0,1.28,0.56,1.19
5,0.17,0.64,0.0,1.4,0.48,1.13
6,0.19,0.49,0.0,1.5,0.48,1.08
7,0.09,0.21,0.0,1.51,0.37,0.98
8,0.09,0.15,0.0,1.46,0.41,0.95
9,0.0,0.22,0.0,1.39,0.28,0.87
10,0.0,0.33,0.0,1.38,0.22,0.83
11,0.0,0.42,0.0,1.37,0.15,0.79
12,0.0,0.31,0.0,1.41,0.1,0.81
13,0.0,0.26,0.0,1.48,0.05,0.83
14,0.0,0.17,0.0,1.67,0.0,0.97
15,0.0,0.11,0.04,1.91,0.0,1.1
16,0.0,0.03,0.07,2.2,0.0,1.26
17,0.0,0.0,0.16,2.38,0.0,1.26
18,0.0,0.0,0.2,2.46,0.01,1.25
19,0.0,0.07,0.23,2.44,0.01,1.2
20,0.0,0.13,0.21,2.43,0.01,1.22
21,0.0,0.18,0.21,2.35,0.0,1.2
22,0.13,0.21,0.15,2.31,0.16,1.28
23,0.27,0.2,0.09,2.27,0.33,1.32
24,0.39,0.37,0.03,2.28,0.45,1.4
25,0.33,0.55,0.05,2.28,0.36,1.36
26,0.26,0.81,0.07,2.22,0.26,1.34
27,0.14,0.91,0.12,1.96,0.22,1.19
28,0.07,0.85,0.11,1.71,0.2,1.08
29,0.0,0.79,0.11,1.51,0.19,0.97
30,0.06,0.74,0.06,1.54,0.2,1.03
31,0.15,0.75,0.04,1.64,0.26,1.07
32,0.25,0.67,0.04,1.66,0.32,1.07
33,0.31,0.6,0.03,1.64,0.38,1.02
34,0.36,0.56,0.06,1.62,0.41,0.99
35,0.27,0.52,0.06,1.68,0.3,1.0
36,0.19,0.65,0.06,1.59,0.24,0.95
37,0.05,0.86,0.03,1.59,0.1,0.98
38,0.03,1.08,0.01,1.57,0.07,0.99
39,0.0,0.96,0.04,1.65,0.02,1.04
40,0.01,0.78,0.03,1.61,0.05,1.05
41,0.03,0.67,0.06,1.63,0.08,1.06
42,0.03,0.56,0.06,1.65,0.1,1.11
43,0.03,0.49,0.06,1.68,0.13,1.14
44,0.02,0.3,0.03,1.64,0.28,1.17
45,0.02,0.28,0.02,1.64,0.41,1.19
46,0.0,0.24,0.01,1.62,0.51,1.17
47,0.0,0.25,0.04,1.46,0.47,1.01
48,0.0,0.25,0.03,1.33,0.34,0.9
49,0.01,0.22,0.03,1.22,0.21,0.79
50,0.01,0.22,0.01,1.32,0.2,0.81
51,0.01,0.24,0.0,1.34,0.16,0.91
52,0.0,0.28,0.0,1.38,0.16,0.97
53,0.01,0.27,0.0,1.35,0.1,1.03
54,0.01,0.22,0.0,1.37,0.13,0.95
55,0.02,0.15,0.0,1.18,0.12,0.89
56,0.16,0.08,0.0,1.08,0.22,0.84
57,0.21,0.03,0.0,1.04,0.23,0.81
58,0.23,0.0,0.0,1.16,0.23,0.82
59,0.17,0.02,0.08,1.19,0.27,0.8
60,0.11,0.05,0.15,1.14,0.29,0.75
61,0.09,0.09,0.15,1.06,0.38,0.72
62,0.0,0.07,0.16,1.22,0.24,0.76
63,0.0,0.13,0.21,1.53,0.22,0.83
64,0.0,0.12,0.28,1.88,0.17,0.89
65,0.0,0.15,0.27,2.01,0.17,0.91
66,0.0,0.11,0.21,2.0,0.16,0.92
67,0.0,0.11,0.19,2.0,0.19,0.96
68,0.0,0.12,0.18,2.02,0.28,1.01
69,0.0,0.08,0.19,2.04,0.32,1.03
70,0.0,0.14,0.24,2.01,0.35,0.99
71,0.0,0.18,0.3,1.98,0.32,0.97
72,0.0,0.19,0.31,1.91,0.23,0.91
73,0.0,0.12,0.28,1.86,0.15,0.87
74,0.0,0.08,0.23,1.83,0.07,0.84
75,0.0,0.05,0.17,1.71,0.12,0.81
76,0.0,0.04,0.09,1.62,0.15,0.79
77,0.0,0.0,0.09,1.55,0.14,0.78
78,0.0,0.0,0.21,1.65,0.09,0.83
79,0.0,0.0,0.25,1.69,0.11,0.86
80,0.0,0.0,0.19,1.74,0.16,0.87
81,0.0,0.0,0.1,1.75,0.21,0.87
82,0.0,0.0,0.12,1.71,0.19,0.83
83,0.0,0.0,0.14,1.66,0.17,0.79
84,0.0,0.0,0.17,1.71,0.09,0.78
85,0.0,0.0,0.16,1.79,0.04,0.81
86,0.0,0.0,0.2,1.85,0.0,0.84
87,0.0,0.0,0.14,1.88,0.05,0.83
88,0.0,0.0,0.07,1.91,0.1,0.81
89,0.0,0.0,0.04,2.05,0.19,0.79
90,0.0,0.0,0.1,2.18,0.23,0.8
91,0.0,0.0,0.15,2.31,0.26,0.81
92,0.0,0.0,0.11,2.18,0.24,0.81
93,0.0,0.0,0.06,2.03,0.23,0.81
94,0.0,0.0,0.01,1.9,0.23,0.83
95,0.0,0.0,0.03,1.94,0.17,0.85
96,0.0,0.0,0.06,1.95,0.11,0.86
97,0.0,0.0,0.19,1.89,0.06,0.85
98,0.0,0.0,0.31,1.82,0.08,0.84
99,0.0,0.0,0.39,1.75,0.06,0.83
100,0.0,0.0,0.41,1.72,0.03,0.81
101,0.0,0.01,0.44,1.67,0.0,0.78
102,0.0,0.09,0.42,1.67,0.02,0.75
103,0.0,0.14,0.35,1.69,0.04,0.76
104,0.0,0.13,0.34,1.84,0.1,0.83
105,0.0,0.05,0.39,1.93,0.13,0.86
106,0.0,0.0,0.45,2.05,0.15,0.89
107,0.0,0.06,0.39,1.97,0.16,0.86
108,0.0,0.06,0.28,2.02,0.13,0.92
109,0.0,0.06,0.18,2.06,0.16,0.92
110,0.0,0.0,0.09,2.18,0.14,0.92
111,0.0,0.0,0.11,2.08,0.13,0.88
112,0.0,0.04,0.09,2.0,0.1,0.86
113,0.0,0.04,0.11,1.88,0.06,0.81
114,0.0,0.09,0.06,1.92,0.05,0.81
115,0.0,0.12,0.05,1.96,0.01,0.83
116,0.0,0.17,0.06,2.02,0.0,0.9
117,0.0,0.16,0.05,1.85,0.0,0.82
118,0.0,0.1,0.05,1.67,0.0,0.73
119,0.0,0.05,0.0,1.46,0.0,0.62
120,0.0,0.02,0.0,1.34,0.05,0.6
121,0.0,0.0,0.0,1.17,0.1,0.55
122,0.0,0.0,0.03,0.95,0.1,0.46
123,0.0,0.02,0.09,0.94,0.07,0.5
124,0.0,0.04,0.15,0.94,0.03,0.52
125,0.01,0.1,0.14,0.99,0.03,0.6
126,0.02,0.09,0.1,0.94,0.01,0.57
127,0.05,0.08,0.07,0.78,0.0,0.5
128,0.07,0.02,0.1,0.65,0.0,0.38
129,0.12,0.01,0.24,0.53,0.0,0.3
130,0.14,0.0,0.35,0.53,0.02,0.28
131,0.17,0.0,0.43,0.53,0.05,0.3
132,0.21,0.06,0.38,0.53,0.04,0.29
133,0.33,0.16,0.41,0.56,0.1,0.28
134,0.39,0.33,0.57,0.6,0.19,0.28
135,0.4,0.49,0.74,0.73,0.31,0.35
136,0.34,0.57,0.86,0.86,0.38,0.4
137,0.39,0.64,0.78,0.96,0.42,0.47
138,0.41,0.65,0.71,0.95,0.4,0.46
139,0.46,0.58,0.7,0.89,0.37,0.4
140,0.47,0.42,0.71,0.82,0.31,0.35
141,0.5,0.31,0.75,0.73,0.31,0.26
142,0.48,0.27,0.64,0.67,0.31,0.28
143,0.45,0.28,0.51,0.66,0.33,0.29
144,0.35,0.18,0.43,0.77,0.34,0.3
145,0.29,0.1,0.4,0.89,0.27,0.31
146,0.22,0.0,0.42,1.0,0.21,0.33
147,0.34,0.0,0.54,1.02,0.29,0.5
148,0.39,0.0,0.66,0.95,0.42,0.64
149,0.5,0.0,0.79,0.9,0.56,0.75
150,0.42,0.0,0.7,0.85,0.53,0.74
151,0.4,0.05,0.51,0.94,0.52,0.76
152,0.36,0.12,0.31,1.01,0.47,0.78
153,0.4,0.16,0.21,1.01,0.45,0.77
154,0.45,0.28,0.26,0.91,0.43,0.74
155,0.47,0.26,0.41,0.8,0.43,0.7
156,0.43,0.28,0.34,0.82,0.47,0.72
157,0.43,0.16,0.33,0.93,0.49,0.67
158,0.43,0.15,0.26,1.06,0.51,0.64
159,0.48,0.29,0.34,1.01,0.45,0.47
