frame,f1,f2,f3,f4,f5,f6
1,0.0,0.73,0.91,0.57,0.98,0.94
2,0.0,0.61,0.74,0.77,0.86,0.92
3,0.0,0.53,0.62,0.74,0.8,0.87
4,0.0,0.45,0.58,0.58,0.77,0.79
5,0.0,0.43,0.64,0.55,0.78,0.73
6,0.0,0.45,0.6,0.63,0.72,0.77
7,0.0,0.45,0.56,0.67,0.67,0.77
8,0.0,0.45,0.54,0.7,0.6,0.76
9,0.0,0.41,0.63,0.69,0.6,0.69
10,0.0,0.41,0.7,0.67,0.57,0.69
11,0.0,0.4,0.67,0.62,0.56,0.69
12,0.0,0.39,0.54,0.53,0.54,0.6
13,0.0,0.37,0.5,0.49,0.56,0.54
14,0.0,0.34,0.5,0.46,0.54,0.46
15,0.0,0.3,0.59,0.48,0.52,0.48
16,0.0,0.3,0.62,0.43,0.49,0.43
17,0.0,0.35,0.71,0.44,0.59,0.44
18,0.0,0.38,0.7,0.46,0.65,0.39
19,0.0,0.36,0.73,0.54,0.66,0.45
20,0.0,0.27,0.68,0.53,0.55,0.41
21,0.0,0.24,0.65,0.54,0.47,0.43
22,0.0,0.26,0.64,0.52,0.39,0.43
23,0.0,0.35,0.59,0.47,0.36,0.41
24,0.0,0.41,0.75,0.42,0.38,0.42
25,0.0,0.43,0.69,0.41,0.38,0.41
26,0.0,0.42,0.72,0.48,0.38,0.46
27,0.0,0.42,0.62,0.54,0.3,0.52
28,0.0,0.42,0.58,0.59,0.27,0.51
29,0.0,0.42,0.53,0.69,0.3,0.55
30,0.0,0.49,0.47,0.63,0.36,0.49
31,0.0,0.55,0.63,0.52,0.36,0.44
32,0.0,0.53,0.63,0.3,0.26,0.3
33,0.0,0.49,0.53,0.31,0.19,0.31
34,0.0,0.47,0.37,0.41,0.13,0.41
35,0.0,0.56,0.26,0.54,0.16,0.54
36,0.0,0.57,0.36,0.63,0.3,0.63
37,0.0,0.56,0.33,0.64,0.48,0.64
38,0.0,0.53,0.29,0.76,0.55,0.76
39,0.0,0.61,0.44,0.81,0.46,0.81
40,0.0,0.71,0.52,0.83,0.39,0.83
41,0.0,0.69,0.68,0.77,0.32,0.79
42,0.0,0.64,0.73,0.68,0.22,0.7
43,0.0,0.66,0.95,0.61,0.14,0.63
44,0.0,0.71,0.98,0.54,0.1,0.59
45,0.0,0.69,0.86,0.54,0.14,0.58
46,0.0,0.63,0.74,0.68,0.19,0.65
47,0.0,0.73,0.82,0.84,0.18,0.67
48,0.0,0.76,1.05,0.8,0.18,0.65
49,0.0,0.73,1.29,0.75,0.19,0.67
50,0.0,0.58,1.4,0.7,0.32,0.7
51,0.0,0.55,1.33,0.76,0.43,0.76
52,0.0,0.64,1.31,0.79,0.45,0.79
53,0.0,0.67,1.35,0.78,0.46,0.79
54,0.0,0.73,1.41,0.74,0.45,0.75
55,0.0,0.59,1.33,0.68,0.42,0.7
56,0.0,0.58,1.27,0.7,0.43,0.72
57,0.0,0.49,1.22,0.74,0.48,0.76
58,0.0,0.51,1.16,0.7,0.61,0.7
59,0.0,0.43,1.12,0.64,0.7,0.64
60,0.0,0.43,1.27,0.63,0.69,0.63
61,0.0,0.37,1.59,0.65,0.65,0.65
62,0.0,0.32,1.89,0.65,0.63,0.65
63,0.0,0.32,1.83,0.56,0.69,0.56
64,0.0,0.29,1.74,0.45,0.75,0.45
65,0.0,0.22,1.71,0.33,0.88,0.28
66,0.0,0.04,1.75,0.36,1.01,0.15
67,0.0,0.0,1.67,0.39,1.07,0.1
68,0.0,0.0,1.62,0.59,0.99,0.1
69,0.0,0.0,1.75,0.73,0.91,0.18
70,0.0,0.0,1.85,0.83,0.91,0.19
71,0.0,0.0,1.88,0.79,0.85,0.29
72,0.0,0.0,1.72,0.52,0.81,0.26
73,0.0,0.03,1.57,0.33,0.81,0.25
74,0.0,0.03,1.39,0.15,0.9,0.11
75,0.0,0.03,1.48,0.26,0.97,0.09
76,0.0,0.0,1.5,0.27,0.95,0.1
77,0.0,0.0,1.63,0.27,0.99,0.09
78,0.0,0.0,1.7,0.29,0.96,0.06
79,0.0,0.0,1.77,0.39,1.02,0.07
80,0.0,0.0,1.69,0.38,1.01,0.07
81,0.0,0.0,1.59,0.23,1.03,0.14
82,0.0,0.0,1.68,0.13,0.9,0.19
83,0.0,0.0,1.82,0.14,0.81,0.27
84,0.0,0.0,1.85,0.17,0.81,0.2
85,0.0,0.0,1.81,0.12,0.96,0.08
86,0.0,0.0,1.82,0.06,1.02,0.0
87,0.0,0.0,1.93,0.08,1.04,0.0
88,0.0,0.0,1.93,0.09,0.99,0.0
89,0.0,0.0,1.71,0.16,0.98,0.0
90,0.0,0.0,1.53,0.18,0.96,0.0
91,0.0,0.0,1.39,0.21,1.01,0.02
92,0.0,0.0,1.44,0.17,1.11,0.09
93,0.0,0.0,1.54,0.2,1.19,0.2
94,0.0,0.0,1.64,0.26,1.18,0.24
95,0.0,0.0,1.62,0.41,1.19,0.3
96,0.0,0.0,1.75,0.3,1.13,0.29
97,0.0,0.0,2.05,0.23,1.18,0.31
98,0.0,0.0,2.31,0.12,1.13,0.26
99,0.0,0.0,2.31,0.12,1.08,0.17
100,0.0,0.0,2.11,0.08,1.0,0.16
101,0.0,0.0,2.16,0.04,0.91,0.17
102,0.0,0.0,2.24,0.19,0.89,0.23
103,0.0,0.0,2.35,0.32,0.92,0.23
104,0.0,0.0,2.31,0.44,1.02,0.19
105,0.0,0.0,2.26,0.53,1.12,0.2
106,0.0,0.05,2.13,0.63,1.18,0.17
107,0.0,0.12,2.1,0.67,1.16,0.2
108,0.0,0.19,2.21,0.67,1.22,0.14
109,0.0,0.28,2.33,0.77,1.25,0.21
110,0.0,0.29,2.37,0.94,1.32,0.14
111,0.0,0.26,2.31,0.97,1.32,0.2
112,0.0,0.22,2.24,0.92,1.33,0.08
113,0.0,0.23,2.22,0.91,1.34,0.1
114,0.0,0.19,2.14,0.95,1.33,0.06
115,0.0,0.1,2.06,1.01,1.28,0.1
116,0.0,0.0,2.05,1.0,1.22,0.13
117,0.0,0.02,2.04,1.0,1.24,0.16
118,0.0,0.11,2.0,1.01,1.29,0.2
119,0.0,0.28,1.84,1.03,1.33,0.25
120,0.0,0.3,1.91,0.88,1.33,0.28
121,0.0,0.24,2.05,0.71,1.32,0.28
122,0.0,0.11,2.25,0.56,1.25,0.25
123,0.0,0.16,2.23,0.48,1.23,0.19
124,0.0,0.18,2.09,0.53,1.14,0.2
125,0.0,0.23,1.99,0.58,1.11,0.16
126,0.0,0.2,1.93,0.7,1.08,0.17
127,0.0,0.17,2.06,0.7,1.18,0.11
128,0.0,0.08,2.41,0.67,1.27,0.06
129,0.0,0.29,2.68,0.59,1.3,0.07
130,0.0,0.52,2.81,0.57,1.33,0.19
131,0.0,0.65,2.57,0.74,1.37,0.39
132,0.0,0.65,2.35,0.91,1.34,0.56
133,0.0,0.6,2.25,1.03,1.32,0.58
